#x座標 y座標 半径  typeの順
#スタート地点周り
50 -800 100 1
2000 50 100 1
50 200 40 0
1000 800 180 2 
2500 1800 90 1
-200 -700 50 0
-300 -400 100 1
50 -300 50 0
600 -500 40 0
100 500 40 0
500 700 30 0
800 1000 60 0
1000 800 30 0
1200 1200 50 0

#中間
2500 300 200 2
2100 500 300 2
2100 1000 100 1
2400 1550 120 1
1500 1800 150 1
#1800 1500 150 2
1600 2000 100 1
2000 2200 180 2
2200 1000 120 1
2400 2500 100 1
2500 2800 80 0
1200 2500 120 1
3000 2000 300 2
5000 50 400 2

#中遠距離
3500 3000 80 0
3800 3500 65 0
3200 2000 100 1
5000 100 500 2
6200 2000 600 2

#ゴール付近
4200 4000 20 0
4000 4500 90 0
4800 4200 100 1
6000 5000 20 0
5500 4500 30 0
* * *
